iter	Passed	Remaining
414	2919	32251
415	2925	32232
416	2930	32212
417	2937	32194
418	2943	32183
419	2949	32166
420	2955	32143
421	2963	32144
422	2969	32129
423	2976	32118
424	2981	32099
425	2989	32099
426	2995	32078
427	3001	32063
428	3008	32052
429	3013	32031
430	3021	32025
431	3027	32009
432	3034	32002
433	3040	31988
434	3046	31966
435	3053	31959
436	3058	31940
437	3066	31934
438	3072	31919
439	3079	31911
440	3086	31905
441	3093	31899
442	3100	31888
443	3106	31873
444	3113	31871
445	3120	31860
446	3126	31850
447	3133	31836
448	3139	31819
449	3147	31823
450	3153	31809
451	3160	31800
452	3166	31786
453	3174	31785
454	3180	31769
455	3186	31756
456	3193	31749
457	3200	31734
458	3207	31729
459	3212	31710
460	3219	31700
461	3225	31685
462	3231	31668
463	3238	31657
464	3244	31641
465	3278	31901
466	3284	31885
467	3293	31891
468	3300	31884
469	3306	31864
470	3312	31852
471	3318	31839
472	3324	31822
473	3332	31817
474	3338	31803
475	3346	31803
476	3352	31787
477	3359	31777
478	3365	31763
479	3382	31853
480	3388	31836
481	3395	31826
482	3401	31806
483	3407	31796
484	3414	31782
485	3420	31765
486	3426	31751
487	3432	31733
488	3438	31723
489	3444	31708
490	3451	31694
491	3457	31680
492	3464	31668
493	3471	31664
494	3477	31646
495	3483	31630
496	3503	31745
497	3509	31726
498	3515	31713
499	3521	31693
500	3527	31675
501	3533	31663
502	3539	31644
503	3546	31640
504	3552	31623
505	3558	31607
506	3565	31599
507	3571	31580
508	3577	31569
509	3584	31555
510	3590	31543
511	3597	31538
512	3603	31520
513	3610	31507
514	3615	31489
515	3621	31472
516	3628	31462
517	3634	31445
518	3640	31434
519	3646	31415
520	3652	31399
521	3661	31412
522	3667	31395
523	3674	31385
524	3679	31363
525	3686	31353
526	3692	31339
527	3698	31321
528	3705	31316
529	3710	31297
530	3719	31302
531	3725	31289
532	3732	31278
533	3738	31264
534	3744	31250
535	3751	31245
536	3757	31228
537	3764	31217
538	3770	31202
539	3776	31187
540	3782	31179
541	3789	31165
542	3795	31155
543	3801	31136
544	3807	31123
545	3814	31117
546	3820	31100
547	3826	31090
548	3833	31079
549	3839	31066
550	3846	31058
551	3852	31042
552	3858	31030
553	3864	31017
554	3870	30999
555	3877	30988
556	3882	30970
557	3889	30959
558	3895	30948
559	3902	30937
560	3908	30928
561	3914	30914
562	3921	30906
563	3927	30891
564	3934	30881
565	3940	30866
566	3945	30850
567	3953	30846
568	3959	30834
569	3982	30952
570	3988	30937
571	3995	30926
572	4001	30914
573	4008	30908
574	4015	30901
575	4021	30890
576	4028	30877
577	4034	30864
578	4040	30848
579	4046	30840
580	4052	30822
581	4058	30811
582	4065	30801
583	4071	30788
584	4078	30777
585	4083	30758
586	4090	30753
587	4097	30743
588	4104	30736
589	4110	30722
590	4116	30707
591	4123	30705
592	4129	30687
593	4136	30679
594	4142	30667
595	4148	30655
596	4154	30643
597	4161	30630
598	4168	30629
599	4176	30630
600	4183	30624
601	4191	30624
602	4206	30672
603	4212	30658
604	4219	30650
605	4225	30637
606	4232	30628
607	4238	30616
608	4245	30608
609	4251	30593
610	4258	30588
611	4264	30573
612	4270	30560
613	4277	30552
614	4283	30538
615	4289	30527
616	4295	30511
617	4301	30497
618	4308	30492
619	4314	30477
620	4321	30470
621	4327	30456
622	4332	30441
623	4339	30430
624	4345	30415
625	4352	30410
626	4358	30395
627	4365	30389
628	4371	30375
629	4377	30361
630	4383	30354
631	4389	30340
632	4396	30331
633	4402	30316
634	4408	30302
635	4415	30294
636	4421	30283
637	4427	30271
638	4433	30260
639	4440	30247
640	4448	30250
641	4454	30237
642	4461	30233
643	4468	30222
644	4475	30218
645	4481	30205
646	4488	30198
647	4495	30190
648	4501	30180
649	4510	30185
650	4517	30176
651	4524	30169
652	4530	30156
653	4537	30153
654	4543	30137
655	4550	30130
656	4556	30121
657	4562	30109
658	4569	30100
659	4575	30088
660	4581	30076
661	4588	30066
662	4593	30048
663	4601	30048
664	4606	30030
665	4613	30023
666	4619	30012
667	4625	29996
668	4632	29988
669	4638	29975
670	4645	29971
671	4651	29958
672	4657	29945
673	4665	29943
674	4671	29930
675	4679	29929
676	4684	29913
677	4691	29907
678	4697	29894
679	4703	29881
680	4710	29877
681	4716	29863
682	4723	29855
683	4729	29842
684	4735	29831
685	4742	29821
686	4748	29808
687	4755	29802
688	4761	29790
689	4767	29778
690	4774	29770
691	4780	29759
692	4795	29802
693	4802	29799
694	4809	29788
695	4815	29780
696	4822	29769
697	4828	29758
698	4835	29755
699	4842	29746
700	4849	29743
701	4856	29731
702	4863	29729
703	4869	29715
704	4876	29708
705	4882	29697
706	4888	29684
707	4895	29678
708	4901	29664
709	4908	29656
710	4913	29642
711	4919	29628
712	4927	29627
713	4933	29617
714	4941	29612
715	4947	29601
716	4954	29595
717	4960	29583
718	4966	29572
719	4974	29567
720	4979	29553
721	4987	29551
722	4992	29536
723	4999	29527
724	5005	29515
725	5011	29504
726	5018	29495
727	5024	29483
728	5030	29473
729	5036	29461
730	5043	29451
731	5049	29443
732	5056	29432
733	5063	29426
734	5069	29415
735	5075	29403
736	5082	29400
737	5088	29387
738	5096	29383
739	5101	29367
740	5108	29359
741	5114	29351
742	5121	29340
743	5129	29341
744	5134	29327
745	5142	29324
746	5148	29310
747	5154	29302
748	5160	29290
749	5166	29277
750	5173	29272
751	5179	29259
752	5186	29254
753	5193	29244
754	5199	29234
755	5206	29227
756	5213	29220
757	5220	29215
758	5227	29207
759	5234	29203
760	5240	29189
761	5247	29183
762	5253	29173
763	5259	29163
764	5267	29160
765	5273	29148
766	5280	29140
767	5286	29128
768	5292	29118
769	5299	29110
770	5305	29099
771	5312	29094
772	5318	29082
773	5324	29073
774	5330	29061
775	5336	29050
776	5344	29047
777	5350	29034
778	5357	29030
779	5363	29019
780	5376	29044
781	5382	29029
782	5388	29022
783	5394	29011
784	5400	28997
785	5407	28990
786	5413	28978
787	5420	28972
788	5426	28960
789	5432	28951
790	5439	28942
791	5445	28930
792	5451	28923
793	5458	28912
794	5464	28904
795	5471	28895
796	5476	28881
797	5484	28877
798	5489	28864
799	5496	28859
800	5502	28846
801	5508	28835
802	5516	28833
803	5522	28819
804	5529	28814
805	5535	28801
806	5543	28803
807	5552	28807
808	5558	28798
809	5566	28792
810	5576	28802
811	5585	28806
812	5591	28796
813	5598	28791
814	5604	28780
815	5612	28776
816	5618	28765
817	5625	28758
818	5631	28749
819	5637	28735
820	5644	28730
821	5650	28719
822	5657	28713
823	5663	28702
824	5669	28691
825	5676	28684
826	5682	28674
827	5689	28666
828	5695	28656
829	5701	28643
830	5708	28637
831	5713	28624
832	5721	28619
833	5727	28608
834	5733	28597
835	5739	28589
836	5745	28577
837	5752	28571
838	5758	28561
839	5766	28558
840	5772	28544
841	5777	28533
842	5785	28528
843	5791	28518
844	5798	28513
845	5804	28501
846	5810	28488
847	5816	28481
